task,setup,run,passed,start,end,orchestration_s,session_s,generation_s,billed_usd,sole_usd,steps,tokens_in,tokens_out
claude-code-by-agents-recursive-delegation,opus5,run4,0,1787018861.389,1787019566.724,705.3,644.4,619.9,3.6728,3.6728,54,3917872,48784
cliffy-config-file-parsing,opus5,run1,1,1787018903.974,1787020009.793,1105.8,1015.3,976.8,7.6666,7.6666,103,10254383,68815
cliffy-config-file-parsing,opus5,run2,0,1787018933.187,1787019977.553,1044.4,983.4,940.5,7.4524,7.4524,111,9756766,68261
cliffy-config-file-parsing,opus5,run3,1,1787019189.072,1787020362.663,1173.6,1112.7,1064.5,8.547,8.547,110,11370437,78174
cliffy-config-file-parsing,opus5,run4,0,1787019235.552,1787020157.861,922.3,864.9,832.7,7.7355,7.7355,79,10617132,59112
csstree-shorthand-expansion-compression,opus5,run1,0,1787019249.612,1787020299.154,1049.5,968.6,947.8,4.8989,4.8989,58,4687416,74611
csstree-shorthand-expansion-compression,opus5,run2,0,1787019308.186,1787020175.595,867.4,818.2,804.4,3.7423,3.7423,45,3358426,61372
csstree-shorthand-expansion-compression,opus5,run3,0,1787019373.797,1787020543.711,1169.9,1121.9,1100.5,6.491,6.491,82,7520574,80815
csstree-shorthand-expansion-compression,opus5,run4,0,1787019566.729,1787020723.873,1157.1,1105.2,1088.9,5.6752,5.6752,63,6022829,76628
dateutil-rfc5545-timezone-interop,opus5,run1,0,1787019892.696,1787021015.485,1122.8,1041.3,1011.3,7.5224,7.5224,84,9205942,81469
dateutil-rfc5545-timezone-interop,opus5,run2,0,1787019977.563,1787020931.347,953.8,899.5,877.1,6.3198,6.3198,71,7355131,71348
dateutil-rfc5545-timezone-interop,opus5,run3,0,1787020009.800,1787020945.559,935.8,882.0,860.1,6.4097,6.4097,74,7784792,69164
dateutil-rfc5545-timezone-interop,opus5,run4,0,1787020157.868,1787021313.602,1155.7,1101.8,1072.5,7.8369,7.8369,82,9133254,89267
expr-try-catch-errors,opus5,run1,0,1787020175.601,1787022886.145,2710.5,2522.8,1942.1,23.883,23.883,196,37393081,139647
expr-try-catch-errors,opus5,run2,0,1787020299.159,1787022473.536,2174.4,2027.0,1772.3,19.9152,19.9152,170,30300435,129158
expr-try-catch-errors,opus5,run3,0,1787020362.670,1787022029.379,1666.7,1513.6,1392.8,14.5426,14.5426,140,21279027,104583
expr-try-catch-errors,opus5,run4,0,1787020425.712,1787021985.763,1560.1,1403.6,1245.3,13.4587,13.4587,124,19660707,94249
fastapi-deprecation-response-headers,opus5,run1,1,1787020543.716,1787021790.575,1246.9,1112.2,870.5,6.6413,6.6413,100,8457661,67695
fastapi-deprecation-response-headers,opus5,run2,1,1787020723.879,1787022316.625,1592.7,1486.7,993.0,8.3686,8.3686,117,11093497,79656
fastapi-deprecation-response-headers,opus5,run3,0,1787020931.353,1787021855.533,924.2,815.3,643.3,4.393,4.393,77,5125382,52386
fastapi-deprecation-response-headers,opus5,run4,0,1787020945.566,1787021878.430,932.9,826.6,589.9,4.5275,4.5275,86,5792125,44306
fd-deterministic-multi-key-sorting,opus5,run1,0,1787021015.493,1787021968.724,953.2,873.1,829.3,7.1733,7.1733,90,9680179,59042
fd-deterministic-multi-key-sorting,opus5,run2,0,1787021313.609,1787022202.033,888.4,833.4,789.6,7.614,7.614,91,10356082,62240
fd-deterministic-multi-key-sorting,opus5,run3,1,1787021790.583,1787022707.277,916.7,862.9,728.2,5.9524,5.9524,77,7579925,55510
fd-deterministic-multi-key-sorting,opus5,run4,0,1787021855.541,1787022648.060,792.5,738.5,698.5,6.3589,6.3589,83,8534077,53236
kcp-go-multiplexed-kcp-streams,opus5,run1,1,1787021878.437,1787022997.006,1118.6,1012.4,720.5,3.1256,3.1256,30,2088229,63679
kcp-go-multiplexed-kcp-streams,opus5,run2,1,1787021968.729,1787023398.324,1429.6,1353.8,739.8,3.6381,3.6381,51,3092041,63066
kcp-go-multiplexed-kcp-streams,opus5,run3,0,1787021985.788,1787023520.433,1534.6,1282.2,912.8,4.2792,4.2792,50,3439959,77767
kcp-go-multiplexed-kcp-streams,opus5,run4,1,1787022029.404,1787023099.536,1070.1,994.7,681.9,3.1026,3.1026,48,2441659,58260
kombu-single-active-consumer-priority,opus5,run1,1,1787022202.040,1787026009.669,3807.6,3695.2,1343.2,14.2799,14.2799,162,21210810,100657
kombu-single-active-consumer-priority,opus5,run2,1,1787022316.633,1787023405.786,1089.2,1003.3,791.7,7.5219,7.5219,98,10085026,67035
kombu-single-active-consumer-priority,opus5,run3,1,1787022473.561,1787027308.287,4834.7,4747.4,1282.3,11.6769,11.6769,143,16562763,97023
kombu-single-active-consumer-priority,opus5,run4,1,1787022648.066,1787023477.617,829.6,739.0,606.7,4.7713,4.7713,71,5690328,54509
kombu-virtual-queue-dead-lettering,opus5,run1,1,1787022707.283,1787023823.245,1116.0,1002.5,823.0,6.6988,6.6988,89,8413057,67753
kombu-virtual-queue-dead-lettering,opus5,run2,1,1787022886.172,1787023922.685,1036.5,950.2,781.1,7.138,7.138,95,9472727,64755
kombu-virtual-queue-dead-lettering,opus5,run3,1,1787022997.011,1787024040.514,1043.5,956.6,787.0,6.5643,6.5643,88,8364392,65602
kombu-virtual-queue-dead-lettering,opus5,run4,1,1787023099.541,1787024107.551,1008.0,921.0,679.7,5.5945,5.5945,88,7203203,55461
koota-deferred-mutation-buffer,opus5,run1,0,1787023398.328,1787024521.833,1123.5,1042.6,977.6,8.1786,8.1786,90,10358916,82023
koota-deferred-mutation-buffer,opus5,run2,0,1787023405.792,1787024902.619,1496.8,1422.9,1232.5,11.5444,11.5444,113,15736086,99149
koota-deferred-mutation-buffer,opus5,run3,0,1787023477.623,1787025007.662,1530.0,1479.4,1392.0,11.9269,11.9269,107,15469229,114567
koota-deferred-mutation-buffer,opus5,run4,0,1787023520.438,1787024662.024,1141.6,1091.2,1015.9,8.5913,8.5913,96,11127080,83586
optique-conditional-option-dependencies,opus5,run1,0,1787023823.253,1787025416.697,1593.4,1509.1,1103.0,15.2318,15.2318,136,23317423,88688
optique-conditional-option-dependencies,opus5,run2,0,1787023922.691,1787025657.175,1734.5,1677.9,1244.6,12.5695,12.5695,136,18015768,100555
optique-conditional-option-dependencies,opus5,run3,0,1787024040.520,1787025575.407,1534.9,1477.2,1163.8,14.9644,14.9644,148,22833828,95473
optique-conditional-option-dependencies,opus5,run4,1,1787024107.556,1787025492.532,1385.0,1326.6,1027.3,11.7624,11.7624,126,17247686,83886
psd-tools-blend-range-api,opus5,run1,1,1787024521.839,1787025276.305,754.5,657.6,554.3,4.0369,4.0369,69,4494045,48068
psd-tools-blend-range-api,opus5,run2,1,1787024662.030,1787025349.551,687.5,617.2,506.5,4.075,4.075,68,4943065,43458
psd-tools-blend-range-api,opus5,run3,1,1787024902.627,1787025646.201,743.6,676.0,553.0,4.4507,4.4507,79,5544909,46158
psd-tools-blend-range-api,opus5,run4,1,1787025007.669,1787025942.703,935.0,867.6,696.2,6.8605,6.8605,106,9503458,56596
quill-shared-toolbar-focus,opus5,run1,1,1787025276.312,1787026664.181,1387.9,1302.3,1049.6,8.8998,8.8998,102,11760827,82842
quill-shared-toolbar-focus,opus5,run2,0,1787025349.565,1787027052.780,1703.2,1649.0,1348.6,14.8476,14.8476,147,22096212,103185
quill-shared-toolbar-focus,opus5,run3,0,1787025416.705,1787027001.792,1585.1,1532.0,1217.5,9.564,9.564,95,11954306,98744
quill-shared-toolbar-focus,opus5,run4,1,1787025492.538,1787027042.633,1550.1,1497.6,1162.3,11.0514,11.0514,114,15385603,91972
superjson-error-stack-serialization,opus5,run1,0,1787025575.417,1787026180.794,605.4,525.7,504.8,2.7655,2.7655,42,2355822,44582
superjson-error-stack-serialization,opus5,run2,1,1787025646.208,1787026290.488,644.3,593.5,576.7,3.3363,3.3363,49,3189684,50355
superjson-error-stack-serialization,opus5,run3,1,1787025657.185,1787026278.715,621.5,568.5,544.4,3.0189,3.0189,43,2657991,49099
superjson-error-stack-serialization,opus5,run4,0,1787025942.708,1787026638.275,695.6,644.3,623.9,3.7439,3.7439,52,3679472,55037
task-task-graph-export,opus5,run1,1,1787026009.674,1787026974.931,965.3,782.4,606.4,5.8276,5.8276,84,7735220,47355
task-task-graph-export,opus5,run2,1,1787026180.799,1787027210.901,1030.1,886.6,640.3,6.5169,6.5169,86,8970881,48469
task-task-graph-export,opus5,run3,1,1787026278.719,1787027323.883,1045.2,902.4,743.1,7.9345,7.9345,101,11211468,57238
task-task-graph-export,opus5,run4,1,1787026290.493,1787027510.835,1220.3,1078.2,903.2,9.0075,9.0075,112,12535410,69799
yjs-map-conflict-detection,opus5,run1,1,1787026638.280,1787029005.034,2366.8,2274.5,1533.9,13.8482,13.8482,132,19038050,116838
yjs-map-conflict-detection,opus5,run2,1,1787026664.186,1787028423.874,1759.7,1692.9,1578.7,13.1242,13.1242,115,17470621,118782
yjs-map-conflict-detection,opus5,run3,1,1787026974.936,1787028270.518,1295.6,1233.5,1150.1,7.2031,7.2031,83,8088147,91745
yjs-map-conflict-detection,opus5,run4,1,1787027001.798,1787028436.911,1435.1,1373.9,1271.7,9.6175,9.6175,92,12048298,103449
