task,harness,model,prompt,run,status,start,end,duration_s,outdir
abs-stepped-slices,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,pass,1784141912.520,1784142298.514,386.0,glm-high__abs-stepped-slices__run3
abs-stepped-slices,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784141930.437,1784142428.895,498.5,glm-nothink__abs-stepped-slices__run3
abs-stepped-slices,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784142145.890,1784142633.176,487.3,glm-high__abs-stepped-slices__run4
abs-stepped-slices,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,fail,1784142200.081,1784142721.523,521.4,glm-nothink__abs-stepped-slices__run4
abs-stepped-slices,claude,claude-code/claude-opus-4-8,v1,3,pass,1784141932.913,1784142721.673,788.8,opus__abs-stepped-slices__run3
actionlint-action-pinning-lint,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,pass,1784142270.929,1784142730.288,459.4,glm-high__actionlint-action-pinning-lint__run1
abs-stepped-slices,claude,claude-code/claude-opus-4-8,v1,2,fail,1784141858.325,1784142849.403,991.1,opus__abs-stepped-slices__run2
actionlint-action-pinning-lint,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784142280.602,1784142856.438,575.8,glm-nothink__actionlint-action-pinning-lint__run1
actionlint-action-pinning-lint,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784142260.929,1784142946.570,685.6,glm-default__actionlint-action-pinning-lint__run1
actionlint-action-pinning-lint,claude,claude-code/claude-opus-4-8,v1,1,pass,1784142298.521,1784143064.467,765.9,opus__actionlint-action-pinning-lint__run1
actionlint-action-pinning-lint,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,fail,1784142633.184,1784143104.193,471.0,glm-high__actionlint-action-pinning-lint__run2
abs-stepped-slices,claude,claude-code/claude-opus-4-8,v1,4,fail,1784142213.647,1784143137.742,924.1,opus__abs-stepped-slices__run4
actionlint-action-pinning-lint,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,fail,1784142721.533,1784143139.520,418.0,glm-nothink__actionlint-action-pinning-lint__run2
actionlint-action-pinning-lint,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,pass,1784142428.904,1784143258.189,829.3,glm-default__actionlint-action-pinning-lint__run2
actionlint-action-pinning-lint,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,pass,1784142856.451,1784143387.625,531.2,glm-nothink__actionlint-action-pinning-lint__run3
actionlint-action-pinning-lint,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,fail,1784142849.405,1784143503.770,654.4,glm-high__actionlint-action-pinning-lint__run3
actionlint-action-pinning-lint,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784143104.201,1784143558.682,454.5,glm-high__actionlint-action-pinning-lint__run4
actionlint-action-pinning-lint,claude,claude-code/claude-opus-4-8,v1,2,pass,1784142721.675,1784143594.619,872.9,opus__actionlint-action-pinning-lint__run2
actionlint-action-pinning-lint,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,pass,1784142730.296,1784143651.363,921.1,glm-default__actionlint-action-pinning-lint__run3
adaptix-name-mapping-aliases,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784143258.199,1784143688.091,429.9,glm-default__adaptix-name-mapping-aliases__run1
actionlint-action-pinning-lint,claude,claude-code/claude-opus-4-8,v1,3,pass,1784142946.581,1784143844.873,898.3,opus__actionlint-action-pinning-lint__run3
actionlint-action-pinning-lint,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,fail,1784143137.743,1784143903.801,766.1,glm-nothink__actionlint-action-pinning-lint__run4
actionlint-action-pinning-lint,claude,claude-code/claude-opus-4-8,v1,4,pass,1784143139.533,1784143995.403,855.9,opus__actionlint-action-pinning-lint__run4
actionlint-action-pinning-lint,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,pass,1784143064.469,1784144097.931,1033.5,glm-default__actionlint-action-pinning-lint__run4
adaptix-name-mapping-aliases,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,pass,1784143387.633,1784144290.098,902.5,glm-high__adaptix-name-mapping-aliases__run1
adaptix-name-mapping-aliases,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,pass,1784143688.098,1784144412.962,724.9,glm-nothink__adaptix-name-mapping-aliases__run2
adaptix-name-mapping-aliases,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784143503.780,1784144457.780,954.0,glm-nothink__adaptix-name-mapping-aliases__run1
adaptix-name-mapping-aliases,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,pass,1784143594.621,1784144608.452,1013.8,glm-default__adaptix-name-mapping-aliases__run2
adaptix-name-mapping-aliases,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784143651.376,1784144718.207,1066.8,glm-high__adaptix-name-mapping-aliases__run2
adaptix-name-mapping-aliases,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,pass,1784143995.405,1784144890.493,895.1,glm-high__adaptix-name-mapping-aliases__run3
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-4-8,v1,1,pass,1784143558.689,1784144997.751,1439.1,opus__adaptix-name-mapping-aliases__run1
adaptix-name-mapping-aliases,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,pass,1784144097.943,1784145006.557,908.6,glm-nothink__adaptix-name-mapping-aliases__run3
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-4-8,v1,2,pass,1784143844.875,1784145153.418,1308.5,opus__adaptix-name-mapping-aliases__run2
aiomonitor-task-snapshots-diff,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784145006.570,1784145408.773,402.2,glm-nothink__aiomonitor-task-snapshots-diff__run1
aiomonitor-task-snapshots-diff,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,fail,1784144997.753,1784145439.275,441.5,glm-high__aiomonitor-task-snapshots-diff__run1
adaptix-name-mapping-aliases,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,pass,1784143903.814,1784145521.249,1617.4,glm-default__adaptix-name-mapping-aliases__run3
adaptix-name-mapping-aliases,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784144457.802,1784145548.476,1090.7,glm-high__adaptix-name-mapping-aliases__run4
adaptix-name-mapping-aliases,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,fail,1784144608.465,1784145557.034,948.6,glm-nothink__adaptix-name-mapping-aliases__run4
adaptix-name-mapping-aliases,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,pass,1784144412.974,1784145680.341,1267.4,glm-default__adaptix-name-mapping-aliases__run4
aiomonitor-task-snapshots-diff,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784145439.282,1784145812.794,373.5,glm-high__aiomonitor-task-snapshots-diff__run2
aiomonitor-task-snapshots-diff,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,fail,1784145521.266,1784145829.396,308.1,glm-nothink__aiomonitor-task-snapshots-diff__run2
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-4-8,v1,3,pass,1784144290.113,1784145842.252,1552.1,opus__adaptix-name-mapping-aliases__run3
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-4-8,v1,1,pass,1784145153.421,1784145921.490,768.1,opus__aiomonitor-task-snapshots-diff__run1
aiomonitor-task-snapshots-diff,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,fail,1784145680.360,1784146003.189,322.8,glm-high__aiomonitor-task-snapshots-diff__run3
aiomonitor-task-snapshots-diff,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,fail,1784145408.781,1784146045.192,636.4,glm-default__aiomonitor-task-snapshots-diff__run2
aiomonitor-task-snapshots-diff,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784145812.801,1784146095.480,282.7,glm-nothink__aiomonitor-task-snapshots-diff__run3
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-4-8,v1,4,pass,1784144718.219,1784146231.423,1513.2,opus__adaptix-name-mapping-aliases__run4
aiomonitor-task-snapshots-diff,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,fail,1784145921.492,1784146248.026,326.5,glm-high__aiomonitor-task-snapshots-diff__run4
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-4-8,v1,2,pass,1784145548.489,1784146351.343,802.9,opus__aiomonitor-task-snapshots-diff__run2
aiomonitor-task-snapshots-diff,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,fail,1784146003.196,1784146403.361,400.2,glm-nothink__aiomonitor-task-snapshots-diff__run4
aiomonitor-task-snapshots-diff,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,pass,1784145557.049,1784146411.348,854.3,glm-default__aiomonitor-task-snapshots-diff__run3
aiomonitor-task-snapshots-diff,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,fail,1784145842.254,1784146459.924,617.7,glm-default__aiomonitor-task-snapshots-diff__run4
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-4-8,v1,3,pass,1784145829.403,1784146607.107,777.7,opus__aiomonitor-task-snapshots-diff__run3
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-4-8,v1,4,fail,1784146045.201,1784146821.104,775.9,opus__aiomonitor-task-snapshots-diff__run4
anko-default-function-arguments,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,pass,1784146231.425,1784146974.120,742.7,glm-high__anko-default-function-arguments__run1
aiomonitor-task-snapshots-diff,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,pass,1784144890.505,1784146974.544,2084.0,glm-default__aiomonitor-task-snapshots-diff__run1
anko-default-function-arguments,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784146095.487,1784147052.970,957.5,glm-default__anko-default-function-arguments__run1
anko-default-function-arguments,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,fail,1784146403.369,1784147246.193,842.8,glm-default__anko-default-function-arguments__run2
anko-default-function-arguments,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784146248.033,1784147293.022,1045.0,glm-nothink__anko-default-function-arguments__run1
anko-default-function-arguments,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,pass,1784146459.933,1784147488.679,1028.7,glm-nothink__anko-default-function-arguments__run2
anko-default-function-arguments,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784146411.363,1784147521.892,1110.5,glm-high__anko-default-function-arguments__run2
anko-default-function-arguments,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784146974.555,1784147677.294,702.7,glm-nothink__anko-default-function-arguments__run3
anko-default-function-arguments,claude,claude-code/claude-opus-4-8,v1,1,pass,1784146351.345,1784147883.483,1532.1,opus__anko-default-function-arguments__run1
anko-default-function-arguments,claude,claude-code/claude-opus-4-8,v1,2,pass,1784146607.109,1784148229.504,1622.4,opus__anko-default-function-arguments__run2
anko-default-function-arguments,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,fail,1784146821.106,1784148272.073,1451.0,glm-default__anko-default-function-arguments__run3
anko-default-function-arguments,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784147293.040,1784148391.424,1098.4,glm-high__anko-default-function-arguments__run4
anko-default-function-arguments,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,pass,1784146974.128,1784148399.739,1425.6,glm-high__anko-default-function-arguments__run3
anko-typed-variable-bindings,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784147677.303,1784148430.947,753.6,glm-default__anko-typed-variable-bindings__run1
anko-typed-variable-bindings,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,pass,1784147883.485,1784148481.673,598.2,glm-high__anko-typed-variable-bindings__run1
anko-default-function-arguments,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,pass,1784147246.200,1784148503.149,1256.9,glm-default__anko-default-function-arguments__run4
anko-typed-variable-bindings,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784148229.506,1784148522.930,293.4,glm-nothink__anko-typed-variable-bindings__run1
anko-default-function-arguments,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,pass,1784147488.691,1784148624.534,1135.8,glm-nothink__anko-default-function-arguments__run4
anko-typed-variable-bindings,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784148399.750,1784148741.602,341.9,glm-high__anko-typed-variable-bindings__run2
anko-typed-variable-bindings,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,pass,1784148430.955,1784148799.562,368.6,glm-nothink__anko-typed-variable-bindings__run2
anko-default-function-arguments,claude,claude-code/claude-opus-4-8,v1,3,pass,1784147052.977,1784148935.166,1882.2,opus__anko-default-function-arguments__run3
anko-typed-variable-bindings,claude,claude-code/claude-opus-4-8,v1,1,fail,1784148272.083,1784148947.512,675.4,opus__anko-typed-variable-bindings__run1
anko-typed-variable-bindings,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,pass,1784148522.937,1784148955.293,432.4,glm-high__anko-typed-variable-bindings__run3
anko-default-function-arguments,claude,claude-code/claude-opus-4-8,v1,4,pass,1784147521.901,1784148959.314,1437.4,opus__anko-default-function-arguments__run4
anko-typed-variable-bindings,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784148624.546,1784149032.290,407.7,glm-nothink__anko-typed-variable-bindings__run3
anko-typed-variable-bindings,claude,claude-code/claude-opus-4-8,v1,2,fail,1784148481.678,1784149109.397,627.7,opus__anko-typed-variable-bindings__run2
anko-typed-variable-bindings,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,fail,1784148391.433,1784149151.818,760.4,glm-default__anko-typed-variable-bindings__run2
anko-typed-variable-bindings,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,pass,1784148503.159,1784149224.897,721.7,glm-default__anko-typed-variable-bindings__run3
anko-typed-variable-bindings,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,fail,1784148947.514,1784149273.264,325.8,glm-nothink__anko-typed-variable-bindings__run4
anko-typed-variable-bindings,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784148935.168,1784149314.507,379.3,glm-high__anko-typed-variable-bindings__run4
anko-typed-variable-bindings,claude,claude-code/claude-opus-4-8,v1,3,pass,1784148741.607,1784149391.695,650.1,opus__anko-typed-variable-bindings__run3
anko-typed-variable-bindings,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,fail,1784148799.569,1784149422.545,623.0,glm-default__anko-typed-variable-bindings__run4
anko-typed-variable-bindings,claude,claude-code/claude-opus-4-8,v1,4,fail,1784148955.302,1784149748.930,793.6,opus__anko-typed-variable-bindings__run4
arcane-drift-detection-baselines,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,pass,1784149032.299,1784150056.819,1024.5,glm-high__arcane-drift-detection-baselines__run1
arcane-drift-detection-baselines,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,pass,1784149314.513,1784150244.589,930.1,glm-nothink__arcane-drift-detection-baselines__run2
arcane-drift-detection-baselines,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,pass,1784149224.908,1784150266.438,1041.5,glm-default__arcane-drift-detection-baselines__run2
arcane-drift-detection-baselines,claude,claude-code/claude-opus-4-8,v1,1,pass,1784149151.827,1784150338.024,1186.2,opus__arcane-drift-detection-baselines__run1
arcane-drift-detection-baselines,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784148959.316,1784150421.341,1462.0,glm-default__arcane-drift-detection-baselines__run1
arcane-drift-detection-baselines,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784149273.272,1784150497.259,1224.0,glm-high__arcane-drift-detection-baselines__run2
arcane-drift-detection-baselines,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,fail,1784149422.556,1784150587.022,1164.5,glm-default__arcane-drift-detection-baselines__run3
arcane-drift-detection-baselines,claude,claude-code/claude-opus-4-8,v1,2,pass,1784149391.698,1784150684.343,1292.6,opus__arcane-drift-detection-baselines__run2
arcane-drift-detection-baselines,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,pass,1784149748.938,1784151004.168,1255.2,glm-high__arcane-drift-detection-baselines__run3
arcane-drift-detection-baselines,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784150056.842,1784151042.802,986.0,glm-nothink__arcane-drift-detection-baselines__run3
arcane-drift-detection-baselines,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,fail,1784150266.450,1784151186.490,920.0,glm-default__arcane-drift-detection-baselines__run4
arcane-drift-detection-baselines,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,pass,1784150421.352,1784151291.685,870.3,glm-nothink__arcane-drift-detection-baselines__run4
arcane-drift-detection-baselines,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,fail,1784150338.031,1784151378.098,1040.1,glm-high__arcane-drift-detection-baselines__run4
arcane-drift-detection-baselines,claude,claude-code/claude-opus-4-8,v1,3,pass,1784150244.601,1784151426.873,1182.3,opus__arcane-drift-detection-baselines__run3
arcane-drift-detection-baselines,claude,claude-code/claude-opus-4-8,v1,4,pass,1784150497.268,1784151663.787,1166.5,opus__arcane-drift-detection-baselines__run4
arktype-json-schema-refs-dependencies,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784150587.038,1784152125.279,1538.2,glm-default__arktype-json-schema-refs-dependencies__run1
arktype-json-schema-refs-dependencies,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,fail,1784150684.344,1784152206.444,1522.1,glm-high__arktype-json-schema-refs-dependencies__run1
arktype-json-schema-refs-dependencies,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,pass,1784151186.500,1784152949.660,1763.2,glm-default__arktype-json-schema-refs-dependencies__run2
arktype-json-schema-refs-dependencies,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,fail,1784152125.297,1784153030.173,904.9,glm-high__arktype-json-schema-refs-dependencies__run3
arktype-json-schema-refs-dependencies,claude,claude-code/claude-opus-4-8,v1,1,pass,1784151042.814,1784153123.334,2080.5,opus__arktype-json-schema-refs-dependencies__run1
arktype-json-schema-refs-dependencies,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784151291.697,1784153755.979,2464.3,glm-high__arktype-json-schema-refs-dependencies__run2
arktype-json-schema-refs-dependencies,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,pass,1784151378.113,1784154000.309,2622.2,glm-nothink__arktype-json-schema-refs-dependencies__run2
arktype-json-schema-refs-dependencies,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,fail,1784151663.789,1784154132.962,2469.2,glm-default__arktype-json-schema-refs-dependencies__run3
arktype-json-schema-refs-dependencies,claude,claude-code/claude-opus-4-8,v1,2,pass,1784151426.874,1784154438.227,3011.4,opus__arktype-json-schema-refs-dependencies__run2
arktype-json-schema-refs-dependencies,claude,claude-code/claude-opus-4-8,v1,3,fail,1784152949.676,1784154651.250,1701.6,opus__arktype-json-schema-refs-dependencies__run3
arcane-drift-detection-baselines,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784149109.398,1784154758.000,5648.6,glm-nothink__arcane-drift-detection-baselines__run1
arktype-json-schema-refs-dependencies,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,fail,1784153030.186,1784154810.132,1779.9,glm-default__arktype-json-schema-refs-dependencies__run4
awilix-async-container-initialization,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,pass,1784154132.989,1784154811.832,678.8,glm-default__awilix-async-container-initialization__run1
awilix-async-container-initialization,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,pass,1784154438.230,1784154851.918,413.7,glm-high__awilix-async-container-initialization__run1
arktype-json-schema-refs-dependencies,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,fail,1784153123.336,1784154956.543,1833.2,glm-high__arktype-json-schema-refs-dependencies__run4
awilix-async-container-initialization,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784154651.260,1784154986.153,334.9,glm-nothink__awilix-async-container-initialization__run1
awilix-async-container-initialization,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,pass,1784154851.924,1784155153.698,301.8,glm-nothink__awilix-async-container-initialization__run2
awilix-async-container-initialization,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,pass,1784154811.841,1784155164.424,352.6,glm-high__awilix-async-container-initialization__run2
awilix-async-container-initialization,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,pass,1784154810.146,1784155448.403,638.3,glm-default__awilix-async-container-initialization__run2
awilix-async-container-initialization,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784155164.430,1784155481.323,316.9,glm-nothink__awilix-async-container-initialization__run3
awilix-async-container-initialization,claude,claude-code/claude-opus-4-8,v1,1,fail,1784154758.002,1784155518.739,760.7,opus__awilix-async-container-initialization__run1
awilix-async-container-initialization,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,pass,1784154986.160,1784155631.918,645.8,glm-default__awilix-async-container-initialization__run3
awilix-async-container-initialization,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,pass,1784155153.705,1784155643.847,490.1,glm-high__awilix-async-container-initialization__run3
awilix-async-container-initialization,claude,claude-code/claude-opus-4-8,v1,2,fail,1784154956.566,1784155767.593,811.0,opus__awilix-async-container-initialization__run2
awilix-async-container-initialization,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784155518.740,1784156016.625,497.9,glm-high__awilix-async-container-initialization__run4
awilix-async-container-initialization,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,fail,1784155631.928,1784156051.662,419.7,glm-nothink__awilix-async-container-initialization__run4
arktype-json-schema-refs-dependencies,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784152206.460,1784156120.838,3914.4,glm-nothink__arktype-json-schema-refs-dependencies__run3
awilix-async-container-initialization,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,pass,1784155481.331,1784156293.163,811.8,glm-default__awilix-async-container-initialization__run4
awilix-async-container-initialization,claude,claude-code/claude-opus-4-8,v1,3,fail,1784155448.413,1784156306.014,857.6,opus__awilix-async-container-initialization__run3
awilix-async-container-initialization,claude,claude-code/claude-opus-4-8,v1,4,pass,1784155643.854,1784156492.365,848.5,opus__awilix-async-container-initialization__run4
bandit-incremental-cache-control,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784155767.595,1784156513.383,745.8,glm-default__bandit-incremental-cache-control__run1
arktype-json-schema-refs-dependencies,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784151004.178,1784156524.976,5520.8,glm-nothink__arktype-json-schema-refs-dependencies__run1
bandit-incremental-cache-control,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,fail,1784156016.636,1784156529.581,512.9,glm-high__bandit-incremental-cache-control__run1
bandit-incremental-cache-control,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,fail,1784156051.672,1784156604.721,553.0,glm-nothink__bandit-incremental-cache-control__run1
bandit-incremental-cache-control,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,fail,1784156306.016,1784156726.916,420.9,glm-high__bandit-incremental-cache-control__run2
arktype-json-schema-refs-dependencies,claude,claude-code/claude-opus-4-8,v1,4,pass,1784154000.329,1784156796.166,2795.8,opus__arktype-json-schema-refs-dependencies__run4
